"dxhy.name","force.mean","torque.mean","force.median","torque.median","force.sd","torque.sd","force.max","torque.max","force.skewness","torque.skewness","force.kurtosis","torque.kurtosis","force.IQR","torque.IQR","force.coefficient_of_variation","torque.coefficient_of_variation","spearman.correlation","pearson.correlation","spectral_density.df","spectral_density.bandwidth","dual.gini","force.gini","torque.gini","force.autocorr.mean","force.autocorr.sd","torque.autocorr.mean","torque.autocorr.sd"
"d10h23",265.622887702422,24.1253190380623,245.1562,27.92477,220.484946751399,15.8027791713774,592.5835,592.5835,0.117827574090138,-0.262095794140261,1.42389893297466,1.57044394939702,498.13693,30.251841,83.0067576851316,65.5028816259198,0.877691335600171,0.841718377074533,1.72589884216941,0.000962250448649376,0.664706611565151,0.468506479429368,0.37210636604383,0.903701689738112,0.0672027373172735,0.839658155548154,0.109947330436611
"d11h1",235.464370363184,15.9801672139303,280.3113,18.94895,117.482962937763,9.84944768530551,390.0002,390.0002,-0.780027473964073,-0.453967016033717,2.33681623271753,1.82068222250755,163.2561,17.619203,49.8941571315248,61.6354481993122,0.894315659810798,0.869273432840906,1.66717448710136,0.00133645895645747,0.57888184105685,0.272259676848522,0.346214492776112,0.702770832875316,0.19261665241852,0.707226658567227,0.200565572188115
"d11h2",247.608778768844,17.9766972613065,291.6516,21.94089,120.83141766318,11.0217605491346,392.7425,392.7425,-0.809360070658241,-0.521933458882518,2.37792208820865,1.74203172576439,173.1157,20.1124805,48.7993270125461,61.311376550008,0.9204737802038,0.878507278764271,1.78263254113346,0.00144337567297406,0.572526902751778,0.267279860969003,0.341135095292176,0.724385484807753,0.173466863298442,0.736938187428001,0.18020047187807
"d11h3",247.916214015075,18.1069998241206,291.6516,22.27333,125.886716420208,11.0894544975251,405.2783,405.2783,-0.719689951126595,-0.539759839283396,2.17353236068899,1.74158990717899,204.4546,20.278702,50.7779279061406,61.2440194689385,0.923422245386414,0.892013951436185,1.78263254113346,0.00144337567297406,0.578154128617046,0.280090436675251,0.339178134389536,0.726289782276792,0.176013729731515,0.741632536771368,0.177886738916575
"d11h4",244.446629298507,17.8408265074627,291.6516,21.60845,123.613832100372,11.120345494437,388.6291,388.6291,-0.751964994998419,-0.51779478406485,2.20464187032919,1.70743157140876,200.7769,20.611139,50.5688429638438,62.3308874719758,0.931574885786067,0.8976714160077,1.66717448710136,0.00133645895645747,0.577544238141726,0.277619916703226,0.345968317796316,0.725072913382661,0.177063364130356,0.735041587687577,0.184560416882363
"d11h5",244.209277695,17.83861043,287.6825,21.60845,124.261368718534,11.1391363302507,391.3714,391.3714,-0.73370105396938,-0.480667485666852,2.18586124970267,1.71241776342542,196.1027,20.6942465,50.8831482126275,62.4439687943265,0.925080141203241,0.893974945751054,1.79159049360146,0.00144337567297406,0.578789969517094,0.280245829202689,0.348676848079472,0.72397289696219,0.178135007730047,0.732119246850786,0.184715351484155
"d11h6",240.209770282927,17.4878482,288.2495,20.94358,126.610545422433,11.1822975672502,392.7425,392.7425,-0.682407716463776,-0.455738506946517,2.07465059081423,1.67914361281805,211.7402,20.943583,52.7083245920042,63.9432446997695,0.933667504768004,0.901834108219777,1.70035208883472,0.00133645895645747,0.584770567412898,0.291306298311229,0.357323404329997,0.749278495696563,0.161805109297602,0.748553610279872,0.176288405233254
"d11h7",247.632969247525,18.504605019802,285.9815,21.94089,126.040912666319,11.413811627182,401.0067,401.0067,-0.697614280895838,-0.540329365028413,2.13555130193713,1.72103228422745,203.830025,21.69156675,50.8982762066441,61.6809254505458,0.927078898972286,0.902567608290835,1.6754688875347,0.00133645895645747,0.577545136629737,0.28148954874815,0.340659575370378,0.731386140881846,0.172555602106414,0.735252376342015,0.185448295518194
"d11h8",246.157604970732,18.2467790390244,290.5176,22.27333,128.915460627511,11.3856049102638,413.8214,413.8214,-0.633268939100102,-0.499336036756457,2.08112466043625,1.72235198752654,209.3756,20.611142,52.3711061629962,62.3978888872027,0.93924606901607,0.912452040349658,1.70035208883472,0.00133645895645747,0.583305830382516,0.291664654799642,0.347614300564554,0.740413637109704,0.166510960717486,0.743584982546409,0.179864917712334
"d11h9",239.553329913876,17.5348990095694,288.2495,21.94089,129.259323033275,11.3045187923903,416.6691,416.6691,-0.599902512261309,-0.491842925831984,2.02855840628989,1.63850737528125,197.7788,21.608458,53.9584747495459,64.4686849135604,0.937358200943106,0.917489414709031,1.73352969056808,0.00133645895645747,0.589281865216845,0.301053844693463,0.357206724591911,0.756126181143956,0.158560706698148,0.752155946825949,0.17517763317733
