Drillbit,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,RUL
d12h11,0.124665,2.9504,7.7707875,12.508,16.871375,21.60825,24.351,25.182375,27.0105,26.968875,28.4235,29.296,29.919375,30.875125,31.4985,31.914,32.2465,31.33225,27.6755,21.48375,15.624625,8.7682125,2.410165,0.748,0,0,51.61675,151.86125,216.66625,255.3625,274.21625,290.3775,325.11,342.35125,346.6375,361.37625,363.26125,386.05875,403.6175,408.12625,421.295,427.525,442.655,431.26375,355.38,253.37875,184.54875,120.094125,67.686125,30.319125,10.7712,1.9947,10
d12h12,0.124665,2.9919625,7.47985,11.843125,17.4115,22.190125,24.3925,27.467625,28.007875,29.254625,31.37375,30.708875,32.121875,32.579,33.410125,32.6205,32.9945,31.623125,28.839125,23.187625,16.41425,9.4328875,4.113925,0.41554375,0,0,50.94475,148.215,211.8625,249.4075,264.435,290.47625,316.985,343.72375,351.95,365.1475,389.725,415.4325,422.0075,438.38375,443.545,449.95125,450.48625,420.65125,359.32,278.52,207.23,136.02375,80.73225,40.026625,17.686125,7.8456625,9
d12h13,0.20778,3.158175,7.7707875,12.2585,18.574875,24.849625,28.42375,28.96375,30.833625,31.082875,32.7865,33.701,33.160625,34.69825,34.44875,35.113875,34.157875,32.95275,29.005125,23.39525,17.536,11.2199875,5.485225,0.6648825,0,0,49.08325,150.74125,209.455,248.7,267.1275,298.33125,339.2675,365.835,377.145,404.27625,417.09375,438.9175,449.59625,447.63625,465.79375,470.24125,474.15625,445.3225,383.36125,267.8375,209.75125,147.095,90.828625,46.14375,20.8775,8.5106125,8
d12h14,0.332438889,4.358633333,9.7146,15.21833333,22.27344444,28.73744444,30.99044444,32.32033333,33.687,34.13033333,34.24122222,36.12477778,36.051,36.64211111,36.86377778,34.86911111,30.51033333,23.89855556,16.65877778,9.1236,3.176642222,0.036937778,0,0,0,0,58.37011111,153.9466667,219.5822222,255.8655556,276.7844444,316.5855556,358.4644444,388.6866667,416.9866667,445.4633333,449.2611111,463.1811111,484.2233333,496.1288889,498.3455556,477.1033333,396.6322222,302.1488889,222.4933333,145.9744444,79.72,35.81566667,17.02133333,5.437366667,0.1182,0,7
d12h15,2.253197778,7.350577778,12.89133333,19.35533333,25.78222222,30.80588889,31.24922222,31.32322222,33.39144444,34.57333333,34.57377778,35.27555556,36.162,36.49433333,35.71866667,34.13022222,27.59233333,19.90922222,11.37676667,4.432511111,0.369386667,0,0,0,0,0,21.04022222,136.431,217.1988889,258.26,279.9777778,313.6733333,356.7877778,377.3566667,384.0588889,396.9088889,435.8133333,454.4788889,468.4022222,470.4577778,465.2377778,457.4866667,427.2666667,346.2211111,253.0933333,170.7811111,96.95544444,44.68088889,20.44911111,6.737533333,0.1182,0,6
d12h16,0.591004444,4.321688889,9.529866667,15.73555556,22.38433333,29.66077778,31.65544444,33.17,34.64744444,35.71855556,36.82666667,39.006,39.22766667,39.22744444,38.34122222,37.71311111,32.87444444,26.85366667,19.13366667,11.4138,4.617188889,0.443252222,0,0,0,0,47.21431111,159.8033333,226.7611111,260.6544444,287.8166667,321.1266667,373.5466667,393.7055556,416.5111111,439.4511111,462.8633333,499.0111111,509.3077778,509.94,514.1455556,489.3055556,431.6122222,330.7133333,244.0233333,165.91,93.54988889,45.86288889,23.40411111,9.338122222,1.182044444,0,5
d12h17,2.548687778,7.313633333,12.89122222,19.54011111,27.59233333,32.61577778,33.50233333,34.20411111,35.38622222,36.93766667,37.861,39.22766667,39.85555556,39.22766667,38.48888889,34.24111111,29.73477778,22.60566667,14.51656667,7.018122222,1.957692222,0.147751111,0,0,0,0,13.59324444,120.6063333,198.8844444,247.2977778,272.3722222,307.4,358.6177778,402.3233333,422.68,447.3588889,465.8722222,489.9477778,507.6711111,512.3622222,514.65,504.9566667,447.38,357.3966667,273.7522222,194.1433333,122.7527778,60.993,30.61477778,13.59334444,5.555555556,0.827422222,4
d12h18,0.517128889,4.506388889,9.714444444,15.03366667,23.15988889,31.39688889,33.57622222,35.90322222,35.64466667,37.824,38.71055556,40.11433333,41.00077778,40.742,40.74211111,38.11955556,33.83477778,27.00144444,19.94611111,12.00465556,6.020822222,1.145064444,0,0,0,0,50.18163333,158.3088889,222.8544444,255.9933333,276.7833333,328.2577778,387.0055556,425.3722222,448.9433333,447.6777778,471.4066667,505.1066667,521.1122222,525.0022222,530.0266667,498.1088889,425.3011111,315.9766667,238.9822222,165.6588889,98.75355556,47.75433333,22.22211111,9.9291,3.073277778,0,3
d12h19,2.327084444,6.944244444,12.00458889,18.54266667,26.44722222,33.20688889,34.42577778,36.08777778,37.26988889,38.71044444,39.44944444,40.96366667,41.00044444,41.70244444,39.15388889,36.60522222,31.72933333,25.11744444,17.80388889,10.52704444,5.1343,0.554065556,0,0,0,0,6.974066667,114.1946667,198.2488889,242.6344444,263.9288889,293.7577778,353.8933333,398.5666667,432.0144444,448.6266667,472.04,501.9322222,515.1233333,528.2433333,518.6822222,519.17,476.99,386.0288889,298.4766667,226.0177778,152.95,83.64588889,43.26244444,17.96683333,7.210377778,2.6005,2
d12h20,0.590998889,4.543322222,9.640666667,15.66155556,23.15977778,32.54211111,35.497,37.34388889,38.415,40.15111111,41.18544444,42.81066667,43.47533333,43.66011111,42.92144444,41.00066667,36.53122222,30.51033333,24.231,16.43722222,9.012755556,6.648755556,1.58832,0,0,0,48.50197778,157.81,223.8611111,255.8655556,283.9355556,330.1633333,402.7711111,451.3166667,477.4211111,491.6677778,512.8522222,540.0733333,553.8488889,555.3077778,551.2566667,528.8922222,459.2288889,360.6111111,282.5188889,213.9522222,132.3995556,77.89611111,35.22455556,13.35672222,6.501188889,1.300233333,1
