dxhy.name,force.mean,torque.mean,force.median,torque.median,force.sd,torque.sd,force.max,torque.max,force.skewness,torque.skewness,force.kurtosis,torque.kurtosis,force.IQR,torque.IQR,force.coefficient_of_variation,torque.coefficient_of_variation,spearman.correlation,pearson.correlation
d6h4,270.6966931,17.0421395,311.15895,20.2787,150.2784233,9.627761779,466.5039,466.5039,-0.546391009,-0.501265623,1.929415845,1.706967231,259.3026,18.616517,55.51542633,56.49385616,0.810076912,0.825912784
d6h5,272.9029102,17.22717555,311.84455,20.94358,150.9865967,9.694768599,459.3846,459.3846,-0.562846403,-0.499555141,1.934778923,1.707426395,253.8102,18.6996285,55.32612187,56.27601907,0.840604884,0.851082661
d6h6,269.0160906,16.7228621,305.67435,20.94358,149.5074819,9.7894924,475.047,475.047,-0.538186786,-0.469300062,1.934888561,1.68398001,252.935725,18.616513,55.57566522,58.539575,0.84874091,0.852952328
d6h7,265.940034,16.83080522,301.1553,20.77736,152.3647075,9.983006659,467.9277,467.9277,-0.487027428,-0.445854785,1.861662851,1.666656957,266.6733,19.36449925,57.2928811,59.31389811,0.859167596,0.858724745
d6h8,276.2073458,16.94973015,313.2157,21.60845,156.4974485,9.833146239,477.8947,477.8947,-0.495683456,-0.494603388,1.88652752,1.666739473,272.9377,18.616515,56.65940856,58.01358577,0.847175824,0.856621256
d6h9,275.9108012,17.46468826,313.2157,22.27333,149.8304896,9.98036936,472.1993,472.1993,-0.570081409,-0.544805782,1.985592918,1.727135208,245.6347,18.616517,54.30395944,57.14599203,0.839628346,0.84752788
d6h10,288.1742317,18.56595953,325.556,23.60308,163.0396857,10.93545786,497.8286,497.8286,-0.473264387,-0.498358921,1.87836653,1.667252822,278.8996,19.946264,56.57677467,58.90058009,0.896922095,0.888929152
d6h11,296.8355795,18.94293534,325.556,24.60039,172.4150653,11.28135098,521.113,521.113,-0.416885289,-0.475813321,1.808016449,1.613016836,306.9853,20.943582,58.08436631,59.55439733,0.880033776,0.888073555
d6h12,286.7666618,18.17763844,301.56085,23.27064,175.712944,11.50290317,521.113,521.113,-0.346755828,-0.393235189,1.714609115,1.52484285,332.838,22.3564395,61.27383946,63.28051473,0.890663561,0.900487059
d6h13,300.0513519,19.44611152,322.12815,24.26796,176.0298305,11.38350455,540.0745,540.0745,-0.377520236,-0.477365062,1.803690952,1.610153158,294.46405,22.439546,58.66656804,58.53871885,0.881588614,0.892573253
d6h14,305.0205851,19.55392891,324.87045,24.93283,179.7695252,11.6627049,545.9089,545.9089,-0.347198972,-0.460675546,1.751636477,1.596510805,309.3833,22.522659,58.93685016,59.6437931,0.891019323,0.901503628
d6h15,304.6346413,19.87799719,316.64355,25.43149,181.271545,11.70525236,541.5331,541.5331,-0.350152458,-0.467379996,1.75208119,1.592071066,322.086875,23.0213185,59.50457382,58.88547144,0.878320251,0.894863675
d6h16,306.2035616,19.92303824,325.556,24.60039,187.2144142,12.30316952,547.3675,547.3675,-0.351631027,-0.39362297,1.683335405,1.522353187,347.1917,24.267955,61.14050836,61.75348043,0.886562565,0.910459858
d6h17,307.5194942,20.73070187,329.6695,26.096365,182.943611,12.29369417,542.9917,542.9917,-0.387044648,-0.423439167,1.736912108,1.583331794,324.845775,24.01863125,59.49008581,59.30187144,0.879286407,0.89743299
d6h18,182.6999154,27.13169157,28.72343,24.60039,215.8654864,14.52588548,592.5835,592.5835,0.792062811,0.295468744,1.9431445,2.623017569,370.65037,17.6192,118.1530303,53.53844394,0.416495287,0.369241817
d7h1,161.5720307,10.34337317,180.7348,10.97045,66.2529344,5.610613622,281.4453,281.4453,-1.204452616,0.094874382,3.814075646,2.861847984,32.5181,5.983885,41.00520004,54.24355797,0.734681295,0.68033374
d7h2,217.7861665,14.3213013,275.20815,17.95164,129.9706498,9.318029401,379.031,379.031,-0.662064031,-0.315000166,1.856245053,1.62315817,234.31488,17.951637,59.67810165,65.06412514,0.803100428,0.787471853
d7h3,239.8634198,15.73538706,284.8474,19.44761,133.523366,9.698345817,410.9737,410.9737,-0.678446,-0.464936468,2.054033277,1.610587142,217.81295,19.0320655,55.66641472,61.6339832,0.842956998,0.825428962
d7h4,231.6468876,15.68951602,279.1773,18.94895,131.7709234,9.270671065,388.6291,388.6291,-0.644582398,-0.461886963,1.944507076,1.662583506,226.68315,17.785419,56.88439191,59.08831765,0.841114822,0.85781862
d7h5,239.7726879,16.23973988,282.5794,19.44761,136.9021646,9.487499667,420.9406,420.9406,-0.556795076,-0.470995383,1.935473024,1.646493219,228.49305,18.61651,57.09664672,58.42150019,0.859319329,0.856209557
d7h6,244.0245413,16.64793163,283.7134,20.2787,142.0563578,10.06072291,426.636,426.636,-0.542491815,-0.435100496,1.847829631,1.603375168,246.6288,19.946268,58.21396367,60.43226948,0.883404178,0.877843675
d7h7,241.60453,16.46695142,281.4453,19.61383,146.8221056,10.16424193,442.2984,442.2984,-0.455993714,-0.362079998,1.800582973,1.56728778,269.88201,20.611144,60.76959965,61.72509815,0.873222259,0.869305946
